K,final_loglik,AIC,BIC
2,455.4870760738041,-896.9741521476082,-876.5342856668112
3,482.7129448549472,-937.4258897098944,-896.5461567483006
4,521.4795442273802,-996.9590884547604,-929.7995271607135
